sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Estadual;28433;JOEL DE OLIVEIRA;PRTB;PRTB;1;Não eleito;7;SP;250001699798;2040602022;0
SP;Deputado Estadual;43033;THIAGO RODRIGO MARTINS;PV;PT / PV / PC do B;1;Suplente;7;SP;250001611786;2040602022;13571
SP;Deputado Estadual;10070;WALTER PEREIRA FERREIRA;REPUBLICANOS;REPUBLICANOS;1;Suplente;7;SP;250001639554;2040602022;2817
SP;Deputado Estadual;22400;MARILZA JOANA GARCIA DE MELO;PL;PL;1;Suplente;7;SP;250001610125;2040602022;6314
SP;Deputado Estadual;35450;INGRID DE MENDONÇA RIBEIRO;PMB;PMB;1;Não eleito;7;SP;250001642226;2040602022;193
SP;Deputado Estadual;44171;JAQUELINE MONTEIRO DE CARVALHO BARRETO;UNIÃO;UNIÃO;1;Suplente;7;SP;250001602127;2040602022;487
SP;Deputado Estadual;40444;JULIANO MALAQUIAS BOTELHO;PSB;PSB;1;Suplente;7;SP;250001620591;2040602022;4385
SP;Deputado Estadual;51002;VANIL ALVES DOS SANTOS;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621455;2040602022;521
SP;Deputado Estadual;15009;AUDEIDE CARDOSO;MDB;MDB;1;Suplente;7;SP;250001609965;2040602022;210
SP;Deputado Estadual;90828;ANNE VITORIA DIAS MOTA;PROS;PROS;1;Não eleito;7;SP;250001719435;2040602022;322
SP;Deputado Estadual;44127;CAMILA GRASIELE SANGREGORIO SOARES;UNIÃO;UNIÃO;1;Suplente;7;SP;250001602126;2040602022;1184
SP;Deputado Estadual;20180;CLAUDETE MARTINS SANTOS DE ANDRADE;PSC;PSC;1;Suplente;7;SP;250001643836;2040602022;565
SP;Deputado Estadual;15157;CASSIANE DE MELO FERNANDES;MDB;MDB;1;Suplente;7;SP;250001609998;2040602022;1879
SP;Deputado Estadual;45780;MARCOS ANTONIO ZERBINI;PSDB;CIDADANIA / PSDB;1;Suplente;7;SP;250001611494;2040602022;51481
SP;Deputado Estadual;35022;ARLINDO PEREIRA FIGUEIREDO JUNIOR;PMB;PMB;1;Não eleito;7;SP;250001642187;2040602022;469
SP;Deputado Estadual;90025;MICHEL CAETANO DE ALBUQUERQUE;PROS;PROS;1;Não eleito;7;SP;250001719442;2040602022;77
SP;Deputado Estadual;12512;SIDNEI TAVARES MEDEIROS;PDT;PDT;1;Suplente;7;SP;250001643634;2040602022;124
SP;Deputado Estadual;28400;MARCELO MENDES BINI;PRTB;PRTB;1;Não eleito;7;SP;250001699813;2040602022;789
SP;Deputado Estadual;51050;CARLOS ROBERTO TOLEDO;PATRIOTA;PATRIOTA;1;Não eleito;7;SP;250001621468;2040602022;599
SP;Deputado Estadual;90318;WAGNER IRINEU DA SILVA;PROS;PROS;1;Não eleito;7;SP;250001719488;2040602022;153
SP;Deputado Estadual;22233;SIRINEU DE ARAUJO SANTOS;PL;PL;1;Suplente;7;SP;250001610185;2040602022;4875
SP;Deputado Estadual;33456;JOENE HENRIQUES DE FIGUEIREDO;PMN;PMN;1;Não eleito;7;SP;250001643273;2040602022;276
