sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Federal;4422;SANDRA REGINA CARBONE TADEU MUDALEN;UNIÃO;UNIÃO;1;Suplente;6;SP;250001602069;2040602022;26503
SP;Deputado Federal;4472;VIVIANE SOARES DE OLIVEIRA ALVES;UNIÃO;UNIÃO;1;Suplente;6;SP;250001724914;2040602022;463
SP;Deputado Federal;3068;DANILO DA CUNHA BARBOSA;NOVO;NOVO;1;Suplente;6;SP;250001597685;2040602022;279
SP;Deputado Federal;1369;SYMMY LARRAT BRITO DE CARVALHO;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610644;2040602022;5400
SP;Deputado Federal;1502;EDSON COELHO ARAÚJO FILHO;MDB;MDB;1;Suplente;6;SP;250001611275;2040602022;17317
SP;Deputado Federal;4530;MONICA APARECIDA CALAZANS;PSDB;CIDADANIA / PSDB;1;Suplente;6;SP;250001612110;2040602022;9149
SP;Deputado Federal;7085;ROGÉRIO DE JESUS PAES;AVANTE;AVANTE;1;Não eleito;6;SP;250001622071;2040602022;375
SP;Deputado Federal;9022;NISE HITOMI YAMAGUCHI;PROS;PROS;1;Não eleito;6;SP;250001677880;2040602022;36690
SP;Deputado Federal;2838;MARIO VIGGIANI NETO;PRTB;PRTB;1;Não eleito;6;SP;250001715895;2040602022;4253
SP;Deputado Federal;3668;ROBSON DE LIMA;AGIR;AGIR;1;Não eleito;6;SP;250001717152;2040602022;189
SP;Deputado Federal;1490;JULIANA PINTO GONÇALVES;PTB;PTB;1;Não eleito;6;SP;250001604859;2040602022;1301
SP;Deputado Federal;2062;JADSON JOSÉ BARACHO DA SILVA;PSC;PSC;1;Suplente;6;SP;250001643868;2040602022;411
SP;Deputado Federal;4478;CAROLINE DO AMPARO CERQUEIRA;UNIÃO;UNIÃO;1;Suplente;6;SP;250001602050;2040602022;4258
SP;Deputado Federal;3665;EMERSON VIRGILIO VENANCIO;AGIR;AGIR;1;Não eleito;6;SP;250001717127;2040602022;620
SP;Deputado Federal;1901;MARIA CÉLIA RODRIGUES PACHECO;PODE;PODE;1;Suplente;6;SP;250001610297;2040602022;6940
SP;Deputado Federal;1420;MUNIR WAHHAB;PTB;PTB;1;Não eleito;6;SP;250001604818;2040602022;756
SP;Deputado Federal;5154;GILMAR APARECIDO RODRIGUES;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620724;2040602022;1447
SP;Deputado Federal;5130;NOILTON SILVESTRE RAMOS;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620713;2040602022;5756
SP;Deputado Federal;1212;MARIA GIOVANA LUCHIARI PISONI DUARTE FORTUNATO;PDT;PDT;1;Não eleito;6;SP;250001643751;2040602022;32932
SP;Deputado Federal;1588;HERNANI ALBERTO MONACO LEONHARDT;MDB;MDB;1;Suplente;6;SP;250001611265;2040602022;4407
SP;Deputado Federal;5510;BRUNO SCAFFIDI;PSD;PSD;1;Suplente;6;SP;250001604949;2040602022;2998
SP;Deputado Federal;7071;JORGE EDUARDO RUBIES;AVANTE;AVANTE;1;Não eleito;6;SP;250001622084;2040602022;404
SP;Deputado Federal;1272;DEJAIR DIAS DA SILVA;PDT;PDT;1;Não eleito;6;SP;250001643743;2040602022;566
SP;Deputado Federal;5088;SÔNIA BONE DE SOUSA SILVA SANTOS;PSOL;REDE / PSOL;1;Eleito por QP;6;SP;250001613792;2040602022;156966
SP;Deputado Federal;1805;ANDERSON SEVERIANO GOMES;REDE;REDE / PSOL;1;Suplente;6;SP;250001613815;2040602022;2041
SP;Deputado Federal;1340;RAFAEL BRUXELLAS PARRA;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610650;2040602022;17251
SP;Deputado Federal;2200;JOSÉ AUGUSTO ROSA;PL;PL;1;Eleito por QP;6;SP;250001611357;2040602022;168740
SP;Deputado Federal;3613;RICARDO FASSIO CAVALCANTE CUNHA;AGIR;AGIR;1;Não eleito;6;SP;250001717151;2040602022;673
SP;Deputado Federal;1156;JHONATAN ARAUJO PANHAGUA;PP;PP;1;Suplente;6;SP;250001611983;2040602022;593
SP;Deputado Federal;5065;ALBERTINO FERREIRA DE OLIVEIRA;PSOL;REDE / PSOL;1;Suplente;6;SP;250001613790;2040602022;2445
SP;Deputado Federal;4510;VITOR LIPPI;PSDB;CIDADANIA / PSDB;1;Eleito por QP;6;SP;250001612095;2040602022;106661
