"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"MÁRIO DE OLIVEIRA";"MARINHO DO JORNAL";"Deputado Federal";7756;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"IDÁRITONIO MARINHO DE JESUS";"MARINHO MB";"Deputado Federal";4073;"PSB";"PSB";"Renúncia";"Concorrendo"
"MÁRIO COVAS NETO";"MÁRIO COVAS";"Deputado Federal";1999;"PODE";"PODE";"Deferido";"Suplente"
"MARIO DONIZETE D ANDREA";"MARIO D'´ANDREA";"Deputado Federal";1844;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"MARIO LUIS FRIAS";"MARIO FRIAS";"Deputado Federal";2208;"PL";"PL";"Deferido";"Eleito por QP"
"MARIO JOSE DE SOUZA";"MARIO LOPES";"Deputado Federal";3688;"AGIR";"AGIR";"Deferido";"Não eleito"
"MARISTELA MACHADO LEITE GOMES";"MARISTELA MACHADO";"Deputado Federal";2718;"DC";"DC";"Indeferido";"Não eleito"
"MARKS RODRIGO PINTIJA";"MARKS PINTIJA";"Deputado Federal";1881;"REDE";"Federação PSOL REDE(PSOL/REDE)";"Deferido";"Suplente"
"MARLENE MARIA RAMOS";"MARLENE RAMOS";"Deputado Federal";5178;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"MARLI GOMES DO CARMO";"MARLI GOMES";"Deputado Federal";3088;"NOVO";"NOVO";"Deferido";"Suplente"
"MARLON FARIAS DA LUZ";"MARLON DO UBER";"Deputado Federal";1565;"MDB";"MDB";"Deferido";"Suplente"
"MARSCHELO RODRIGO MARIN MECHE";"MARSCHELO MECHE";"Deputado Federal";2276;"PL";"PL";"Deferido";"Suplente"
"MARTA DIAS FELIX";"MARTA DIAS";"Deputado Federal";1269;"PDT";"PDT";"Deferido";"Não eleito"
"MARTA MARIA FERREIRA ARAÚJO";"MARTA FOX";"Deputado Federal";7006;"AVANTE";"AVANTE";"Deferido";"Não eleito"
"MARTA CRISTINA LUCHI DE LIMA";"MARTA LIMA";"Deputado Federal";9003;"PROS";"PROS";"Deferido";"Suplente"
"MARTA DE SOUZA SOBRAL";"MARTA SOBRAL COLETIVO ESPORTE";"Deputado Federal";1311;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"MARTHA VANIA LOPES IWASAKI";"MARTHA ISHIDA";"Deputado Federal";9005;"PROS";"PROS";"Deferido";"Suplente"
"MARTINHO CARLOS COLPANI FILHO";"MARTINHO COLPANI";"Deputado Federal";2287;"PL";"PL";"Deferido";"Suplente"
"MARIA CONCEIÇÃO FRANCO DELFINO";"MARY FRANCO";"Deputado Federal";3522;"PMB";"PMB";"Deferido";"Não eleito"
"VALDIR ANTONIO MASSUCATO";"MASSUCATO";"Deputado Federal";5107;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"MATEUS OLIVEIRA MORO";"MATEUS MORO";"Deputado Federal";1350;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"MATHEUS GARCIA MOREIRA";"MATHEUS GARCIA";"Deputado Federal";9007;"PROS";"PROS";"Deferido";"Suplente"
"MATHEUS DE OLIVEIRA PINTO";"MATHEUS MAFEPI";"Deputado Federal";2202;"PL";"PL";"Deferido";"Suplente"
"MAURICIO CHINAGLIA";"MAURICINHO CHINAGLIA";"Deputado Federal";7790;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"MAURICIO PEREIRA CARDOSO";"MAURICIO CARDOSO";"Deputado Federal";2738;"DC";"DC";"Indeferido";"Concorrendo"
"MANOEL MAURICIO SILVA NEVES";"MAURICIO NEVES";"Deputado Federal";1100;"PP";"PP";"Deferido";"Eleito por QP"
"MAURICIO RAPPA SANTOS";"MAURÍCIO RAPPA";"Deputado Federal";3020;"NOVO";"NOVO";"Deferido";"Suplente"
"MAURREN HIGA MAGGI";"MAURREN MAGGI";"Deputado Federal";1080;"REPUBLICANOS";"REPUBLICANOS";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"MAXWELL TEODORO MARIANEK ALVES";"MAX MARIANEK";"Deputado Federal";2101;"PCB";"PCB";"Deferido";"Não eleito"
"MAXIMILIANO RODRIGUES";"MAX RODRIGUES";"Deputado Federal";7747;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"MAYRA LARISSA COSTA MIRANDA";"MAYRA MIRANDA";"Deputado Federal";4426;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"MARIO EDUARDO DE OLIVEIRA";"MEO";"Deputado Federal";2734;"DC";"DC";"Indeferido";"Concorrendo"
"DEJAIR DIAS DA SILVA";"MESTRE DEJAIR CANIBAL";"Deputado Federal";1272;"PDT";"PDT";"Deferido";"Não eleito"
"MARCOS PARAÍSO DA SILVA";"MESTRE PARAÍSO";"Deputado Federal";2885;"PRTB";"PRTB";"Indeferido com recurso ou em prazo recursal";"Não eleito"
"ADENILSON SILVA ALVES";"MESTRE TICO";"Deputado Federal";1517;"MDB";"MDB";"Deferido";"Suplente"
"ALEXANDRE MANOEL LEME";"MESTRE XANDÃO";"Deputado Federal";4419;"UNIÃO";"UNIÃO";"Deferido";"Suplente"
"MICHEL ARAUJO SILVA FIGUEREDO";"MICHEL FIGUEREDO";"Deputado Federal";5119;"PATRIOTA";"PATRIOTA";"Deferido";"Não eleito"
"MICHELLI CASSIANA DA PAIXÃO";"MICHELLI PAIXÃO";"Deputado Federal";1113;"PP";"PP";"Deferido";"Suplente"
"MIGUEL GOMES FERNANDES";"MIGUEL GOMES";"Deputado Federal";3365;"PMN";"PMN";"Deferido";"Não eleito"
"MIGUEL LOMBARDI";"MIGUEL LOMBARDI";"Deputado Federal";2277;"PL";"PL";"Deferido";"Eleito por QP"
"MILTON ANTONIO CASQUEL MONTI";"MILTON MONTI";"Deputado Federal";5599;"PSD";"PSD";"Deferido";"Suplente"
"MILTON VIEIRA PINTO";"MILTON VIEIRA";"Deputado Federal";1055;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Eleito por QP"
"MIRANICE DOS SANTOS BARRETO";"MIRAH BARRETO";"Deputado Federal";9017;"PROS";"PROS";"Deferido";"Suplente"
"VALDOMIRO SUTERIO";"MIRO SUTÉRIO";"Deputado Federal";7741;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Suplente"
"MARIA MIRTES LOPES DA SILVA CAMELO";"MIRTES LOPES";"Deputado Federal";3697;"AGIR";"AGIR";"Deferido";"Não eleito"
"ELIMARA LOTERIO DA SILVA DIAS";"MISSIONÁRIA ELIMARA LOTERIO";"Deputado Federal";3350;"PMN";"PMN";"Deferido";"Não eleito"
"JOSÉ MAURO SOUZA DA SILVA";"MISSIONÁRIO JOSÉ MAURO";"Deputado Federal";3367;"PMN";"PMN";"Deferido";"Não eleito"
"JOSÉ OLIMPIO SILVEIRA MORAES";"MISSIONÁRIO JOSÉ OLÍMPIO";"Deputado Federal";2241;"PL";"PL";"Deferido";"Suplente"
"MOACIR RODRIGUES FERNANDES";"MOACYR FERNANDES";"Deputado Federal";3610;"AGIR";"AGIR";"Deferido";"Não eleito"
"JOARLEY MOISES ALVES DOS SANTOS";"MOISES PATRIA E DEFESA";"Deputado Federal";1406;"PTB";"PTB";"Deferido";"Não eleito"
"MÔNICA GABRIELA BUAVA DE FREITAS";"MÔNICA BUAVA MANDATO ANIMAL";"Deputado Federal";4366;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Deferido";"Suplente"
"MONICA APARECIDA CALAZANS";"MONICA CALAZANS";"Deputado Federal";4530;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Deferido";"Suplente"
"MONICA FERREIRA BITENCOURT DE ALMEIDA";"MONICA NEGA";"Deputado Federal";2004;"PSC";"PSC";"Deferido";"Suplente"
"MONICA ROSENBERG BRAIZAT";"MONICA ROSENBERG";"Deputado Federal";3077;"NOVO";"NOVO";"Deferido";"Suplente"
"MÔNICA APARECIDA DA SILVA SONTINI";"MÔNICA SONTINI";"Deputado Federal";2025;"PSC";"PSC";"Deferido";"Suplente"
"MÔNICA DE OLIVEIRA LOURENÇO VELOSO";"MÔNICA VELOSO";"Deputado Federal";1255;"PDT";"PDT";"Deferido";"Não eleito"
"MONIQUE FERNANDES MACHADO";"MONYKE BRASIL";"Deputado Federal";2711;"DC";"DC";"Deferido";"Não eleito"
"JOSÉ MARIO YAMASHITA";"MORI YAMASHITA";"Deputado Federal";1108;"PP";"PP";"Deferido";"Suplente"
"SERGIO RICARDO RIBEIRO DE OLIVEIRA";"MORTADELA";"Deputado Federal";1903;"PODE";"PODE";"Deferido";"Suplente"
